Line,Construction,type,psr,psr.def,psr.pron,psr.anim,psm,psm.pron,psm.anim
I got sick in the middle of my apprenticeship and I had .,the middle of my apprenticeship,OF,my apprenticeship,Def,n,Inanim,the middle,n,Inanim
at the end of my five years at the end of his five years if you,the end of my five years,OF,my five years,Def,n,Inanim,the end,n,Inanim
at the end of my five years at the end of his five years if you,the end of his five years,OF,his five years,Def,n,Inanim,the end,n,Inanim
put the amount of time together he's had a lot more time off .,the amount of time,OF,time,Indef,n,Inanim,the amount,n,Inanim
like he - put a skill saw down in the centre of one .,the centre of one . finger,OF,one finger,Indef,n,Inanim,the centre,n,Inanim
he chopped the end of another finger off,the end of another finger,OF,another finger,Indef,n,Inanim,the end,n,Inanim
and um I was right inside it and I was riveting all the inside of the,the inside of the canvas sleeve,OF,the canvas sleeve,Def,n,Inanim,the inside,n,Inanim
site foreman's office so the foreman said oh rah rah rah we were down --,the um site foreman's office,S,the site foreman,Def,n,Anim,office,n,Inanim
but on the other side of the wall . and I was . I was .,the other side of the wall .,OF,the wall,Def,n,Inanim,the other side,n,Inanim
I was always so close to getting to the end of my apprenticeship,the end of my apprenticeship,OF,my apprenticeship,Def,n,Inanim,the end,n,Inanim
but at the end of the day I thought you know .,the end of the day,OF,the day,Def,n,Inanim,the end,n,Inanim
just off the face of this little cliff - and -,the face of this little cliff -,OF,this little cliff,Def,n,Inanim,the face,n,Inanim
I don't know I think I'm I'm I think because I always used to go to my dad's   work when,my dad's   work,S,my dad,Def,n,Anim,work,n,Inanim
off his nose and the top of his forehead -,the top of his forehead -,OF,his forehead,Def,n,Inanim,the top,n,Inanim
yeah and you've got to have one . like as of like well the start of the year .,the start of the year .,OF,the year,Def,n,Inanim,the start,n,Inanim
she just moans - like oh Clinton's girlfriend rang up right .,Clinton's girlfriend ,S,Clinton,Def-pn,n,Anim,girlfriend,n,Anim
and um sitting on the bonnet of the old man's car .,the bonnet of the old man's car .,OF,the old man's car,Def,n,Inanim,the bonnet,n,Inanim
and um sitting on the bonnet of the old man's car .,the old man's car .,S,the old man,Def,n,Anim,car,n,Inanim
that's the biggest part of my job's looking after all those ?,the biggest part of my job's,OF,my job,Def,n,Inanim,the biggest part,n,Inanim
yeah I am also in charge of the company's finance system - so.,the company's finance system -,S,the company,Def,n,Inanim,finance system,n,Inanim
4 meters or so . to the top . just before the final bit . and the top the hardest part of the climb is called the crux . <mmm> .,the hardest part of the climb,OF,the climb,Def,n,Inanim,the hardest part,n,Inanim
head open . and all th? an' all this blood's pouring out the side of my head .,the side of my head .,OF,my head,Def,n,Inanim,the side,n,Inanim
yeah . I mean it was real it was a long way down . eight meters? about the height of the big diving board at . QEII,the height of the big diving board,OF,the big diving board at QEII,Def,n,Inanim,the height,n,Inanim
using the format of pages . I could write on pages -,the format of pages .,OF,pages,Indef,n,Inanim,the format,n,Inanim
couldn't jus sort of publish it as it is I wanna sort of try an add explanations at the start of each section ?,the start of each section ?,OF,each section,Indef,n,Inanim,the start,n,Inanim
I started . I started cos at at the start of ?98 I said I'm taking a year off   I'm,the start of ?98,OF,98,Def-pn,n,Inanim,the start,n,Inanim
I'm gonna do nothing . /I mean/ at th? sorry at the start of ?99. I'd finished ?varsity I said,the start of ?99.,OF,99,Def-pn,n,Inanim,the start,n,Inanim
but generally I sat . I spent the first half of the year reading .,the first half of the year,OF,the year,Def,n,Inanim,the first half,n,Inanim
second half of the year I spent writing . till about say September -,second half of the year I spent,OF,the year I spent,Def,n,Inanim,second half,n,Inanim
but um then they . we actually ended up at someone's flat for a while and then .,someone's flat,S,someone,Indef,n,Anim,flat,n,Inanim
<cool> early hours of the morning -,early hours of the morning -,OF,the morning,Def,n,Inanim,early hours,n,Inanim
and carried on drinking there until again the early hours of the morning -,the early hours of the morning -,OF,the morning,Def,n,Inanim,the early hours,n,Inanim
um - well it was initially Greer's idea she . we went along to a practice intro class and we um -,Greer's idea,S,Greer,Def-pn,n,Anim,idea,n,Inanim
um lovely old huge big old house that used to be kind of a flatting situation when the university was in centre c centre of town and .,centre of town,OF,town,Indef,n,Inanim,centre,n,Inanim
didn't get squashed to the side of the bed where Greer normally pushes me but -,the side of the bed,OF,the bed,Def,n,Inanim,the side,n,Inanim
I think the first year of university I lined up for interviews,the first year of university,OF,university,Indef,n,Inanim,the first year,n,Inanim
. . . . . . . . . . . . . . . . . . . . . /you'll be up/ to five hundred by the end of the year or something though won't you what's the -,the end of the year,OF,the year,Def,n,Inanim,the end,n,Inanim
what the meaning of that particular character is and then link it up with the characters around it .,the meaning of that particular character,OF,that particular character,Def,n,Anim,the meaning,n,Inanim
and like Mark's woolly jumper that was d~ you know .,Mark's woolly jumper,S,Mark,Def-pn,n,Anim,woolly jumper,n,Inanim
yeah . and um . no so she was I think she went to school with Mark's brother,Mark's brother,S,Mark,Def-pn,n,Anim,brother,n,Anim
that was Mark's wee thing and typical Paul . crossing the line .,Mark's wee thing,S,Mark,Def-pn,n,Anim,wee thing,n,Inanim
two for the price of one or gives ya your . vodka and cokes in .,the price of one,OF,one,Indef,n,Inanim,the price,n,Inanim
in other people's lives . sort of thing,other people's lives .,S,other people,Indef,n,Anim,lives,n,Inanim
probably spend the bulk of your life in,the bulk of your life,OF,your life,Def,n,Inanim,the bulk,n,Inanim
<mm> the whole history of um -,the whole history of um - the UK,OF,the UK,Def-pn,n,Inanim,the whole history,n,Inanim
I used I I said nigger in the middle of Auckland when I had no hair .,the middle of Auckland,OF,Auckland,Def-pn,n,Inanim,the middle,n,Inanim
in the middle of a street in Auckland .,the middle of a street in Auckland .,OF,a street in Auckland,Indef,n,Inanim,the middle,n,Inanim
but the last day of March the thirty first of March -,the last day of March,OF,March,Def-pn,n,Inanim,the last day,n,Inanim
my Dad and Grant's Dad's are ?,Grant's Dad's,S,Grant,Def-pn,n,Anim,Dad,n,Anim
I mean it's the female's eggs that have to . cut in half ?,the female's eggs,S,the female,Def,n,Anim,eggs,n,Inanim
the guy's sperm that just,the guy's sperm,S,the guy,Def,n,Anim,sperm,n,Inanim
oh that's the other that's that's Jim's - Jim's son,Jim's son,S,Jim,Def-pn,n,Anim,son,n,Anim
I know no one else's cousins <yip>,no one else's cousins,S,no one else,Indef,n,Anim,cousins,n,Anim
Grant . Grant's family was a exception   they,Grant's family was,S,Grant,Def-pn,n,Anim,family,n,Anim
I'm not sure what the new one's name is --,the new one's name,S,the new one,Def,n,Anim,name,n,Inanim
and then there's the other side of the family,the other side of the family,OF,the family,Def,n,Inanim,the other side,n,Inanim
Mum's side . um .,Mum's side .,S,Mum,Def-pn,n,Anim,side,n,Inanim
um but the cost of the flats over there is,the cost of the flats over there,OF,the flats over there,Def,n,Inanim,the cost,n,Inanim
at the end of the day,the end of the day,OF,the day,Def,n,Inanim,the end,n,Inanim
and at the end of the day,the end of the day,OF,the day,Def,n,Inanim,the end,n,Inanim
having your nose in someone else's sweaty armpit,someone else's sweaty armpit,S,someone else,Indef,n,Anim,sweaty armpit,n,Inanim
the main part of the staple diet for a while and .,the main part of the staple diet,OF,the staple diet,Def,n,Inanim,the main part,n,Inanim
which basically runs all of Inland Revenue's um .,Inland Revenue's um .   court . um . tax . um tax cases .,S,Inland Revenue,Def-pn,n,Inanim,court tax cases,n,Inanim
I mean at the end of the day,the end of the day,OF,the day,Def,n,Inanim,the end,n,Inanim
members of Erinna's family and um .,Erinna's family,S,Erinna,Def-pn,n,Anim,family,n,Anim
cos it was in the middle of nowhere.,the middle of nowhere.,OF,nowhere,Indef,n,Inanim,the middle,n,Inanim
but commercial fishermen used to fish the length of the Sounds-,the length of the Sounds-,OF,the Sounds,Def-pn,n,Inanim,the length,n,Inanim
quite large it looked like about the size of a large.,the size of a large. black backed seagull,OF,a large black backed seagull,Indef,n,Anim,the size,n,Inanim
and it was flapping away on the side of the boat and it.,the side of the boat,OF,the boat,Def,n,Inanim,the side,n,Inanim
if they're only the size of limit fish,the size of limit fish,OF,limit fish,Indef,n,Inanim,the size,n,Inanim
it was the consistency of Waitaki mash and,the consistency of Waitaki mash,OF,Waitaki mash,Indef,n,Inanim,the consistency,n,Inanim
the better selection of teachers . ahh .,the better selection of teachers .,OF,teachers,Indef,n,Anim,the better selection,n,Inanim
it w~ it would have been . well one and a half times the size of the boat,the size of the boat,OF,the boat,Def,n,Inanim,the size,n,Inanim
or two times the size of the boat,the size of the boat,OF,the boat,Def,n,Inanim,the size,n,Inanim
round to Charmaine's house for tea,Charmaine's house,S,Charmaine,Def-pn,n,Anim,house,n,Inanim
it's probably about three quarters the length of the pitch .,the length of the pitch .,OF,the pitch,Def,n,Inanim,the length,n,Inanim
at the end of four overs they say next batters,the end of four overs,OF,four overs,Indef,n,Inanim,the end,n,Inanim
somehow see in the back of my mind,the back of my mind,OF,my mind,Def,n,Inanim,the back,n,Inanim
they just couldn't be bothered having the stress of a real job . and .,the stress of a real job .,OF,a real job,Indef,n,Inanim,the stress,n,Inanim
one of the wrist bones out of the flipper of a plesiosaur-,the flipper of a plesiosaur-,OF,a plesiosaur,Indef,n,Anim,the flipper,n,Inanim
because they do the equivalent of walking .,the equivalent of walking .,OF,walking,Indef,n,Inanim,the equivalent,n,Inanim
ends of their . toes .,the very . um . ends of their . toes .,OF,their toes,Def,n,Inanim,the very ends,n,Inanim
David Attenborough's . series on the life of mammals .,David Attenborough's . series on the life of mammals .,S,David Attenborough,Def-pn,n,Anim,series on the life of mammals,n,Inanim
David Attenborough's . series on the life of mammals .,the life of mammals .,OF,mammals,Indef,n,Anim,the life,n,Inanim
well the the the the the wing of the bat is held is y'know held by the fingers .,the wing of the bat,OF,the bat,Def,n,Anim,the wing,n,Inanim
there was one of David Attenborough's early programmes when he was in a cave somewhere in Indonesia .,David Attenborough's early programmes,S,David Attenborough,Def-pn,n,Anim,early programmes,n,Inanim
and the film director said cut and they stopped filming and then this bat flew bang into the side of David Attenborough's face,the side of David Attenborough's face,OF,David Attenborough's face,Def,n,Inanim,the side,n,Inanim
and the film director said cut and they stopped filming and then this bat flew bang into the side of David Attenborough's face,David Attenborough's face,S,David Attenborough,Def-pn,n,Anim,face,n,Inanim
but ahh in the process of leaving,the process of leaving,OF,leaving,Indef,n,Inanim,the process,n,Inanim
but yeah . I'd say that's generally the - that's generally the gist of complaints,the gist of complaints,OF,complaints,Indef,n,Inanim,the gist,n,Inanim
that appropriate or in the context of the employment that you're . then going on to,the context of the employment that you're . then going on to,OF,the employment that you're then going on to,Def,n,Inanim,the context,n,Inanim
and I can probably count on the fingers of one hand .,the fingers of one hand .,OF,one hand,Indef,n,Inanim,the fingers,n,Inanim
the original um concept of funk comes from you know um,the original um concept of funk,OF,funk,Indef,n,Inanim,the original concept,n,Inanim
we're in the middle of Suburbia <mmm>,the middle of Suburbia,OF,Suburbia,Indef,n,Inanim,the middle,n,Inanim
in ahh in . in the absence of anything else - yeah,the absence of anything else -,OF,anything else,Indef,n,Inanim,the absence,n,Inanim
